date,Bitcoin,Scaled Value,Bitcoin trend
2021-12-24 00:00:00,81,81.0,25.71428571428571
2021-12-24 01:00:00,84,84.0,26.666666666666668
2021-12-24 02:00:00,81,81.0,25.71428571428571
2021-12-24 03:00:00,85,85.0,26.984126984126984
2021-12-24 04:00:00,78,78.0,24.761904761904763
2021-12-24 05:00:00,75,75.0,23.809523809523807
2021-12-24 06:00:00,77,77.0,24.444444444444443
2021-12-24 07:00:00,77,77.0,24.444444444444443
2021-12-24 08:00:00,83,83.0,26.34920634920635
2021-12-24 09:00:00,73,73.0,23.174603174603174
2021-12-24 10:00:00,80,80.0,25.396825396825395
2021-12-24 11:00:00,74,74.0,23.49206349206349
2021-12-24 12:00:00,76,76.0,24.126984126984127
2021-12-24 13:00:00,74,74.0,23.49206349206349
2021-12-24 14:00:00,85,85.0,26.984126984126984
2021-12-24 15:00:00,75,75.0,23.809523809523807
2021-12-24 16:00:00,87,87.0,27.61904761904762
2021-12-24 17:00:00,81,81.0,25.71428571428571
2021-12-24 18:00:00,84,84.0,26.666666666666668
2021-12-24 19:00:00,94,94.0,29.841269841269842
2021-12-24 20:00:00,95,95.0,30.158730158730158
2021-12-24 21:00:00,93,93.0,29.523809523809526
2021-12-24 22:00:00,85,85.0,26.984126984126984
2021-12-24 23:00:00,86,86.0,27.3015873015873
2021-12-25 00:00:00,77,77.0,24.444444444444443
2021-12-25 01:00:00,72,72.0,22.857142857142858
2021-12-25 02:00:00,71,71.0,22.53968253968254
2021-12-25 03:00:00,70,70.0,22.22222222222222
2021-12-25 04:00:00,67,67.0,21.26984126984127
2021-12-25 05:00:00,69,69.0,21.904761904761905
2021-12-25 06:00:00,59,59.0,18.73015873015873
2021-12-25 07:00:00,76,76.0,24.126984126984127
2021-12-25 08:00:00,70,70.0,22.22222222222222
2021-12-25 09:00:00,71,71.0,22.53968253968254
2021-12-25 10:00:00,69,69.0,21.904761904761905
2021-12-25 11:00:00,75,75.0,23.809523809523807
2021-12-25 12:00:00,70,70.0,22.22222222222222
2021-12-25 13:00:00,70,70.0,22.22222222222222
2021-12-25 14:00:00,75,75.0,23.809523809523807
2021-12-25 15:00:00,75,75.0,23.809523809523807
2021-12-25 16:00:00,74,74.0,23.49206349206349
2021-12-25 17:00:00,75,75.0,23.809523809523807
2021-12-25 18:00:00,78,78.0,24.761904761904763
2021-12-25 19:00:00,84,84.0,26.666666666666668
2021-12-25 20:00:00,83,83.0,26.34920634920635
2021-12-25 21:00:00,82,82.0,26.031746031746035
2021-12-25 22:00:00,88,88.0,27.936507936507937
2021-12-25 23:00:00,86,86.0,27.3015873015873
2021-12-26 00:00:00,84,84.0,26.666666666666668
2021-12-26 01:00:00,76,76.0,24.126984126984127
2021-12-26 02:00:00,69,69.0,21.904761904761905
2021-12-26 03:00:00,66,66.0,20.952380952380953
2021-12-26 04:00:00,74,74.0,23.49206349206349
2021-12-26 05:00:00,68,68.0,21.58730158730159
2021-12-26 06:00:00,70,70.0,22.22222222222222
2021-12-26 07:00:00,68,68.0,21.58730158730159
2021-12-26 08:00:00,66,66.0,20.952380952380953
2021-12-26 09:00:00,70,70.0,22.22222222222222
2021-12-26 10:00:00,68,68.0,21.58730158730159
2021-12-26 11:00:00,67,67.0,21.26984126984127
2021-12-26 12:00:00,69,69.0,21.904761904761905
2021-12-26 13:00:00,63,63.0,20.0
2021-12-26 14:00:00,67,67.0,21.26984126984127
2021-12-26 15:00:00,67,67.0,21.26984126984127
2021-12-26 16:00:00,81,81.0,25.71428571428571
2021-12-26 17:00:00,72,72.0,22.857142857142858
2021-12-26 18:00:00,72,72.0,22.857142857142858
2021-12-26 19:00:00,71,71.0,22.53968253968254
2021-12-26 20:00:00,79,79.0,25.07936507936508
2021-12-26 21:00:00,86,86.0,27.3015873015873
2021-12-26 22:00:00,82,82.0,26.031746031746035
2021-12-26 23:00:00,76,76.0,24.126984126984127
2021-12-27 00:00:00,83,83.0,26.34920634920635
2021-12-27 01:00:00,66,66.0,20.952380952380953
2021-12-27 02:00:00,66,66.0,20.952380952380953
2021-12-27 03:00:00,65,65.0,20.634920634920633
2021-12-27 04:00:00,63,63.0,20.0
2021-12-27 05:00:00,67,67.0,21.26984126984127
2021-12-27 06:00:00,69,69.0,21.904761904761905
2021-12-27 07:00:00,69,69.0,21.904761904761905
2021-12-27 08:00:00,64,64.0,20.317460317460316
2021-12-27 09:00:00,70,70.0,22.22222222222222
2021-12-27 10:00:00,68,68.0,21.58730158730159
2021-12-27 11:00:00,69,69.0,21.904761904761905
2021-12-27 12:00:00,68,68.0,21.58730158730159
2021-12-27 13:00:00,76,76.0,24.126984126984127
2021-12-27 14:00:00,82,82.0,26.031746031746035
2021-12-27 15:00:00,78,78.0,24.761904761904763
2021-12-27 16:00:00,77,77.0,24.444444444444443
2021-12-27 17:00:00,84,84.0,26.666666666666668
2021-12-27 18:00:00,86,86.0,27.3015873015873
2021-12-27 19:00:00,82,82.0,26.031746031746035
2021-12-27 20:00:00,80,80.0,25.396825396825395
2021-12-27 21:00:00,81,81.0,25.71428571428571
2021-12-27 22:00:00,86,86.0,27.3015873015873
2021-12-27 23:00:00,78,78.0,24.761904761904763
2021-12-28 00:00:00,77,77.0,24.444444444444443
2021-12-28 01:00:00,73,73.0,23.174603174603174
2021-12-28 02:00:00,73,73.0,23.174603174603174
2021-12-28 03:00:00,76,76.0,24.126984126984127
2021-12-28 04:00:00,74,74.0,23.49206349206349
2021-12-28 05:00:00,72,72.0,22.857142857142858
2021-12-28 06:00:00,78,78.0,24.761904761904763
2021-12-28 07:00:00,82,82.0,26.031746031746035
2021-12-28 08:00:00,75,75.0,23.809523809523807
2021-12-28 09:00:00,72,72.0,22.857142857142858
2021-12-28 10:00:00,67,67.0,21.26984126984127
2021-12-28 11:00:00,65,65.0,20.634920634920633
2021-12-28 12:00:00,66,66.0,20.952380952380953
2021-12-28 13:00:00,77,77.0,24.444444444444443
2021-12-28 14:00:00,80,80.0,25.396825396825395
2021-12-28 15:00:00,76,76.0,24.126984126984127
2021-12-28 16:00:00,83,83.0,26.34920634920635
2021-12-28 17:00:00,89,89.0,28.253968253968253
2021-12-28 18:00:00,93,93.0,29.523809523809526
2021-12-28 19:00:00,100,100.0,31.746031746031743
2021-12-28 20:00:00,93,93.0,29.523809523809526
2021-12-28 21:00:00,99,99.0,31.428571428571427
2021-12-28 22:00:00,94,94.0,29.841269841269842
2021-12-28 23:00:00,90,90.0,28.57142857142857
2021-12-29 00:00:00,84,84.0,26.666666666666668
2021-12-29 01:00:00,80,80.0,25.396825396825395
2021-12-29 02:00:00,75,75.0,23.809523809523807
2021-12-29 03:00:00,68,68.0,21.58730158730159
2021-12-29 04:00:00,72,72.0,22.857142857142858
2021-12-29 05:00:00,67,67.0,21.26984126984127
2021-12-29 06:00:00,76,76.0,24.126984126984127
2021-12-29 07:00:00,70,70.0,22.22222222222222
2021-12-29 08:00:00,72,72.0,22.857142857142858
2021-12-29 09:00:00,68,68.0,21.58730158730159
2021-12-29 10:00:00,69,69.0,21.904761904761905
2021-12-29 11:00:00,66,66.0,20.952380952380953
2021-12-29 12:00:00,82,82.0,26.031746031746035
2021-12-29 13:00:00,82,82.0,26.031746031746035
2021-12-29 14:00:00,80,80.0,25.396825396825395
2021-12-29 15:00:00,82,82.0,26.031746031746035
2021-12-29 16:00:00,86,86.0,27.3015873015873
2021-12-29 17:00:00,80,80.0,25.396825396825395
2021-12-29 18:00:00,84,84.0,26.666666666666668
2021-12-29 19:00:00,81,81.0,25.71428571428571
2021-12-29 20:00:00,95,95.0,30.158730158730158
2021-12-29 21:00:00,88,88.0,27.936507936507937
2021-12-29 22:00:00,81,81.0,25.71428571428571
2021-12-29 23:00:00,91,91.0,28.888888888888886
2021-12-30 00:00:00,93,93.0,29.523809523809526
2021-12-30 01:00:00,83,83.0,26.34920634920635
2021-12-30 02:00:00,74,74.0,23.49206349206349
2021-12-30 03:00:00,74,74.0,23.49206349206349
2021-12-30 04:00:00,75,75.0,23.809523809523807
2021-12-30 05:00:00,69,69.0,21.904761904761905
2021-12-30 06:00:00,72,72.0,22.857142857142858
2021-12-30 07:00:00,77,77.0,24.444444444444443
2021-12-30 08:00:00,72,72.0,22.857142857142858
2021-12-30 09:00:00,77,77.0,24.444444444444443
2021-12-30 10:00:00,72,72.0,22.857142857142858
2021-12-30 11:00:00,69,69.0,21.904761904761905
2021-12-30 12:00:00,75,75.0,23.809523809523807
2021-12-30 13:00:00,79,79.0,25.07936507936508
2021-12-30 14:00:00,82,82.0,26.031746031746035
2021-12-30 15:00:00,77,77.0,24.444444444444443
2021-12-30 16:00:00,82,82.0,26.031746031746035
2021-12-30 17:00:00,82,82.0,26.031746031746035
2021-12-30 18:00:00,79,79.0,25.07936507936508
2021-12-30 19:00:00,85,85.0,26.984126984126984
2021-12-30 20:00:00,79,79.0,25.07936507936508
2021-12-30 21:00:00,86,86.0,27.3015873015873
2021-12-30 22:00:00,81,81.0,25.71428571428571
2021-12-30 23:00:00,79,79.0,25.07936507936508
2021-12-31 00:00:00,44,77.0,24.444444444444443
2021-12-31 01:00:00,38,66.5,21.11111111111111
2021-12-31 02:00:00,38,66.5,21.11111111111111
2021-12-31 03:00:00,40,70.0,22.22222222222222
2021-12-31 04:00:00,38,66.5,21.11111111111111
2021-12-31 05:00:00,38,66.5,21.11111111111111
2021-12-31 06:00:00,41,71.75,22.77777777777778
2021-12-31 07:00:00,40,70.0,22.22222222222222
2021-12-31 08:00:00,41,71.75,22.77777777777778
2021-12-31 09:00:00,45,78.75,25.0
2021-12-31 10:00:00,37,64.75,20.555555555555554
2021-12-31 11:00:00,36,63.0,20.0
2021-12-31 12:00:00,38,66.5,21.11111111111111
2021-12-31 13:00:00,42,73.5,23.333333333333332
2021-12-31 14:00:00,41,71.75,22.77777777777778
2021-12-31 15:00:00,42,73.5,23.333333333333332
2021-12-31 16:00:00,41,71.75,22.77777777777778
