timestep,features,google_trends_lag,tweet_volume_lag,tweet_polarity_score_lag,batch_size,neurons,layers,mean_down_f1_score,mean_up_f1_score,mean_acc,min_acc,max_acc,diff_acc,optimizer,month,consecutive,actic_func
15,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.598954789,0.542932443,0.573023256,0.562790698,0.58372093,0.020930233,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.60421281,0.534327815,0.572790698,0.559302326,0.589534884,0.030232558,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,32,1,0.600640946,0.53279902,0.569767442,0.55,0.591860465,0.041860465,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.606725551,0.522218371,0.569069767,0.559302326,0.58255814,0.023255814,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,32,1,0.601885897,0.529058069,0.568604651,0.553488372,0.586046512,0.03255814,adam,6,1,linear
15,['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'],10,28,15,200,32,1,0.586053511,0.54342416,0.56744186,0.552325581,0.576744186,0.024418605,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tw_polarity']",10,28,15,200,32,1,0.597529003,0.527755134,0.566046512,0.553488372,0.575581395,0.022093023,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity_lag' 'tw_polarity']",10,28,15,200,32,1,0.607234504,0.513103856,0.566046512,0.556976744,0.580232558,0.023255814,adam,6,1,linear
15,['Label' 'Close' 'google_trends'],10,28,15,200,32,1,0.595051756,0.531215872,0.565813953,0.562790698,0.569767442,0.006976744,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.561295292,0.569394144,0.56562137,0.551684088,0.577235772,0.025551684,adam,6,1,linear
15,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,200,32,1,0.604302602,0.516776556,0.565116279,0.563953488,0.56744186,0.003488372,adam,6,1,linear
15,"['Label' 'Close' 'google_trends' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.602874493,0.51286272,0.563255814,0.551162791,0.568604651,0.01744186,adam,6,1,linear
15,['Label' 'Close' 'google_trends' 'tweet_volume'],28,28,15,200,32,1,0.589266944,0.529431278,0.561860465,0.548837209,0.570930233,0.022093023,adam,6,1,linear
15,['Label' 'Close' 'google_trends' 'google_trends_lag' 'tw_polarity'],10,28,15,200,32,1,0.599414934,0.516166748,0.561860465,0.548837209,0.575581395,0.026744186,adam,6,1,linear
15,['Label' 'Close' 'google_trends' 'google_trends_lag'],10,28,15,200,32,1,0.587329001,0.529097989,0.561162791,0.55,0.579069767,0.029069767,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.556913241,0.564314942,0.56097561,0.544715447,0.571428571,0.026713124,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.548270914,0.571067595,0.560046458,0.544715447,0.585365854,0.040650407,adam,6,1,linear
12,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.52379955,0.589024984,0.559349593,0.552845528,0.56445993,0.011614402,adam,,,
15,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag'],10,28,15,200,32,1,0.594630888,0.514708299,0.558372093,0.551162791,0.568604651,0.01744186,adam,6,1,linear
15,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity_lag' 'tw_polarity']",10,28,15,200,32,1,0.556492591,0.559485321,0.558188153,0.544715447,0.566782811,0.022067364,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.511207672,0.589529049,0.557491289,0.534262485,0.574912892,0.040650407,,,,
15,['Label' 'Close' 'google_trends_lag'],28,28,15,200,32,1,0.600610874,0.502159864,0.557209302,0.543023256,0.569767442,0.026744186,adam,6,1,linear
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.582507718,0.527769057,0.557026713,0.547038328,0.56562137,0.018583043,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.549847712,0.562925405,0.556794425,0.545876887,0.577235772,0.031358885,adam,6,1,linear
12,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.508467511,0.595812488,0.556678281,0.541231127,0.574912892,0.033681765,adam,,,
30,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,200,32,1,0.544340807,0.567139812,0.556126021,0.542590432,0.564760793,0.022170362,adam,6,1,linear
12,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.515771262,0.588379183,0.556097561,0.542392567,0.56445993,0.022067364,adam,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.537497187,0.56734058,0.555168409,0.538908246,0.570267131,0.031358885,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'Change' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,1,0.530328268,0.574833704,0.555052265,0.541231127,0.570267131,0.029036005,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.574275645,0.532793805,0.555052265,0.535423926,0.569105691,0.033681765,adam,,,
15,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag'],28,28,15,200,32,1,0.591093974,0.507662749,0.553488372,0.539534884,0.562790698,0.023255814,adam,6,1,linear
