timestep,features,google_trends_lag,tweet_volume_lag,tweet_polarity_score_lag,batch_size,neurons,layers,mean_mape,mean_r2,mean_rmse,min_rmse,max_rmse,diff_rmse,optimizer,month,consecutive,actic_func
24,['Close'],10,28,15,32,32,1,0.017524961,-0.654248915,741.1318946,327.9933687,1704.744515,1376.751146,adam,1,1,relu
24,['Close'],10,28,15,32,32,1,0.184764178,-0.619519712,4898.115852,998.2486955,8817.321232,7819.072536,adam,6,1,relu
24,['Close' 'google_trends'],10,28,15,32,32,1,0.363674873,-4851.050656,22750.4114,711.681473,109215.559,108503.8775,adam,1,1,relu
24,['Close' 'google_trends'],10,28,15,32,32,1,0.267836653,-4.284178507,6831.628302,808.7689453,23033.48693,22224.71798,adam,6,1,relu
24,['Close' 'tweet_volume'],10,28,15,32,32,1,0.028034278,-5.087399166,1145.929689,290.4462088,3698.635224,3408.189016,adam,1,1,relu
24,['Close' 'tweet_volume'],10,28,15,32,32,1,0.51588481,-22.34665212,15143.43777,1275.606028,44560.19802,43284.59199,adam,6,1,relu
24,['Close' 'tweet_volume'],10,28,15,32,32,1,0.041180781,0.935859665,1095.134413,416.6620307,1591.751201,1175.089171,adam,6,1,tanh
24,['Close' 'google_trends' 'tweet_volume'],10,28,15,32,32,1,0.077457309,0.798593337,2050.71364,1611.271275,2613.414183,1002.142908,adam,6,1,tanh
24,['Close'],10,28,15,32,32,1,0.04275371,0.938336813,1114.118626,926.8608007,1703.830191,776.9693905,adam,6,1,tanh
24,['Close' 'google_trends'],10,28,15,32,32,1,0.054246009,0.86812394,1460.305025,720.6013692,3077.257491,2356.656122,adam,6,1,tanh
24,['Close' 'google_trends_lag'],10,28,15,32,32,1,0.125522303,0.29476614,3139.569745,976.1550368,7413.073847,6436.91881,adam,6,1,tanh
24,['Close' 'tweet_volume_lag'],10,28,15,32,32,1,0.050250798,0.900172013,1316.283988,676.4298883,2542.041823,1865.611934,adam,6,1,tanh
24,['Close' 'google_trends_lag' 'tweet_volume_lag'],10,28,15,32,32,1,0.087934581,0.717736735,2299.500791,856.1034446,3306.657963,2450.554518,adam,6,1,tanh
24,['Close' 'tw_polarity'],10,28,15,32,32,1,0.056094326,0.868368367,1502.246554,514.4883321,2500.518608,1986.030276,adam,6,1,tanh
24,"['Close' 'google_trends' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,32,32,1,0.05918888,0.871095153,1560.821896,1013.102239,2587.894662,1574.792424,adam,6,1,tanh
15,"['Close' 'google_trends' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,32,32,1,0.041425402,0.912178362,1089.392925,271.9042001,2702.663248,2430.759048,adam,6,1,tanh
15,['Close'],10,28,15,32,32,1,0.07433928,0.739234837,1899.644964,481.6313683,3833.448661,3351.817293,adam,6,1,tanh
15,['Close' 'google_trends'],10,28,15,32,32,1,0.052244998,0.890462705,1411.589347,621.3483748,2135.534082,1514.185707,adam,6,1,tanh
15,['Close' 'tweet_volume'],10,28,15,32,32,1,0.070512178,0.775525917,1934.680016,774.4297998,3609.882527,2835.452727,adam,6,1,tanh
15,['Close' 'google_trends' 'tweet_volume'],10,28,15,32,32,1,0.053355037,0.897903876,1377.72092,805.8334211,2417.537676,1611.704255,adam,6,1,tanh
15,['Close' 'google_trends_lag' 'tweet_volume_lag'],10,28,15,32,32,1,0.073632509,0.813876125,1937.705251,1340.418056,2769.032824,1428.614768,adam,6,1,tanh
15,['Close' 'google_trends_lag'],10,28,15,32,32,1,0.088635987,0.743810588,2314.983627,1945.17359,2898.147315,952.9737253,adam,6,1,tanh
15,['Close' 'tweet_volume_lag'],10,28,15,32,32,1,0.07302771,0.751301584,1910.533243,1081.567041,4507.498843,3425.931803,adam,6,1,tanh
15,"['Close' 'google_trends' 'google_trends_lag' 'tweet_volume_lag'
 'tweet_volume']",10,28,15,32,32,1,0.066615092,0.83417657,1805.933814,1386.155679,2861.262798,1475.10712,adam,6,1,tanh
15,['Close' 'tw_polarity'],10,28,15,32,32,1,0.028661071,0.970031013,775.5904065,508.1520614,1090.775759,582.6236971,adam,6,1,tanh
