timestep,features,google_trends_lag,tweet_volume_lag,tweet_polarity_score_lag,batch_size,neurons,layers,mean_mape,mean_r2,mean_rmse,min_rmse,max_rmse,diff_rmse,optimizer,month,consecutive,actic_func
15,['return' 'google_trends_lag'],2,28,15,80,32,1,1.28713141,0.00654468,0.009136691,0.009118081,0.009165517,4.74e-05,adam,6,1,relu
15,['return' 'google_trends_lag'],3,28,15,80,32,1,1.311636948,0.003432076,0.009150931,0.909488229,0.921186039,0.01169781,adam,6,1,relu
15,['return' 'google_trends_lag'],4,28,15,80,32,1,1.23459526,0.000187765,0.009165129,0.895704538,0.930006108,0.034301569,adam,6,1,relu
15,['return' 'google_trends_lag'],2,28,15,80,32,1,1.332077812,-0.000967969,0.009171093,0.009116913,0.009227754,0.000110841,adam,6,1,relu
10,['return' 'google_trends_lag'],2,28,15,80,32,1,1.454359383,-0.002949839,0.009159187,0.009086482,0.009214853,0.000128371,adam,6,1,relu
15,['return'],10,28,15,80,32,1,1.190468015,-0.003888091,0.009184551,0.009170855,0.009202294,3.14e-05,adam,6,1,relu
15,['return' 'tweet_volume_lag'],2,1,15,80,32,1,1.182091357,-0.004344159,0.009177374,0.009151806,0.009190453,3.86e-05,adam,6,1,relu
15,['return' 'tweet_volume_lag'],2,15,15,80,32,1,1.241568027,-0.005258944,0.009181541,0.009162086,0.009219235,5.71e-05,adam,6,1,relu
15,['return' 'tweet_volume_lag'],2,15,15,80,32,1,1.262173964,-0.005274821,0.009181626,0.009157285,0.009192255,3.5e-05,adam,6,1,relu
10,['return'],10,28,15,80,32,1,1.269025801,-0.006615626,0.009175985,0.009149996,0.009207051,5.71e-05,adam,6,1,relu
10,['return' 'google_trends_lag'],1,28,15,80,32,1,1.626465648,-0.007361912,0.009179188,0.009117689,0.00928847,0.00017078,adam,6,1,relu
30,['return'],10,28,15,80,32,1,1.270885146,-0.007367521,0.009246487,0.009221076,0.009267199,4.61e-05,adam,6,1,relu
15,['return' 'tweet_volume'],2,16,15,80,32,1,1.251513696,-0.009439104,0.009200473,0.009154055,0.009306824,0.000152769,adam,6,1,relu
15,['return' 'google_trends_lag'],3,28,15,80,32,1,1.376813168,-0.00958429,0.009210091,0.009065472,0.009340816,0.000275344,adam,6,1,relu
15,['return' 'tw_compound' 'tw_polarity'],2,15,15,80,32,1,1.206964484,-0.011618717,0.009210526,0.009170797,0.009244063,7.33e-05,adam,6,1,relu
24,['return'],10,28,15,80,32,1,1.269432884,-0.012349304,0.009244612,0.009201634,0.009368564,0.00016693,adam,6,1,relu
15,['return' 'tweet_volume_lag'],2,30,15,80,32,1,1.250647546,-0.013153927,0.009215444,0.009162269,0.009293331,0.000131062,adam,6,1,relu
15,['return' 'tweet_volume'],2,15,15,80,32,1,1.326376161,-0.014090058,0.009220859,0.009144931,0.00948376,0.000338829,adam,6,1,relu
15,['return' 'google_trends_lag'],4,28,15,80,32,1,1.229508634,-0.015929781,0.00923931,0.009181047,0.009344841,0.000163793,adam,6,1,relu
15,['return' 'tweet_volume_lag'],2,16,15,80,32,1,1.396427006,-0.01655763,0.009232672,0.009165296,0.009366092,0.000200796,adam,6,1,relu
20,['return' 'google_trends_lag'],3,28,15,80,32,1,1.460701275,-0.019141891,0.009258666,0.009148729,0.009394904,0.000246175,adam,6,1,relu
20,['return' 'google_trends_lag'],4,28,15,80,32,1,1.43143261,-0.020602135,0.009265534,0.009215453,0.009364855,0.000149403,adam,6,1,relu
20,['return' 'google_trends_lag'],2,28,15,80,32,1,1.584677147,-0.025473655,0.009287326,0.009161513,0.009436268,0.000274756,adam,6,1,relu
15,['return' 'google_trends_lag'],1,28,15,80,32,1,1.549267757,-0.031783927,0.009306839,0.009001335,0.009659697,0.000658361,adam,6,1,relu
15,"['return' 'google_trends_lag' 'tweet_volume_lag' 'tw_compound'
 'tw_polarity']",2,15,15,80,32,1,1.572773542,-0.036406157,0.009319939,0.009131013,0.009688941,0.000557928,adam,6,1,relu
10,['return' 'google_trends'],10,28,15,80,32,1,1.85929728,-0.036422523,0.0093089,0.009173961,0.009688617,0.000514656,adam,6,1,relu
15,['return' 'volume_lag'],2,15,15,80,32,1,1.593326132,-0.042477071,0.009349593,0.009267383,0.009506687,0.000239305,adam,6,1,relu
24,['return'],10,28,15,80,32,1,1.629948565,-0.045798038,0.009396076,0.009289785,0.009483156,0.00019337,adam,6,1,relu
30,['return'],10,28,15,80,32,1,1.399865738,-0.051801666,0.009447544,0.009306043,0.009623754,0.000317711,adam,6,1,relu
15,['return' 'google_trends_lag' 'tweet_volume_lag' 'volume_lag'],2,15,15,80,32,1,1.754607372,-0.057346593,0.0094154,0.009224045,0.009606589,0.000382543,adam,6,1,relu
30,['return'],10,28,15,80,32,1,1.43591382,-0.062232088,0.009494957,0.009478647,0.00950112,2.25e-05,adam,6,1,relu
24,['return'],10,28,15,80,32,1,1.474203677,-0.066283033,0.009487272,0.009375738,0.009671831,0.000296093,adam,6,1,relu
10,['return'],10,28,15,80,32,1,1.477839948,-0.069521357,0.009458214,0.009391388,0.009526689,0.000135301,adam,6,1,tanh
10,['return'],10,28,15,80,32,1,1.288333014,-0.078825969,0.009498111,0.00929,0.009711619,0.000421619,adam,6,1,relu
15,['return'],10,28,15,80,32,1,1.532356505,-0.10799063,0.00964492,0.009473989,0.010204172,0.000730182,adam,6,1,tanh
15,['return' 'google_trends'],10,28,15,80,32,1,1.669529174,-0.139488922,0.00974649,0.009143067,0.011468495,0.002325428,adam,6,1,relu
15,['return' 'volume_lag'],2,15,15,80,32,1,1.520306217,-0.141297928,0.009770861,0.009301815,0.010672098,0.001370283,adam,6,1,relu
15,['return' 'volume_lag'],2,15,15,80,32,1,1.525606195,-0.157157684,0.009849867,0.009672232,0.010031562,0.00035933,adam,6,1,relu
15,['return' 'volume_lag'],2,15,15,80,32,1,1.347950885,-0.157442891,0.009845747,0.009236635,0.010209914,0.00097328,adam,6,1,relu
15,['return'],10,28,15,80,32,1,1.517363711,-0.174910897,0.009924925,0.009585979,0.010860114,0.001274135,adam,6,1,relu
15,['return' 'google_trends_lag' 'tweet_volume_lag'],2,15,15,80,32,1,1.560019315,-0.229709674,0.0100183,0.009069954,0.013324224,0.00425427,adam,6,1,relu
15,['return' 'volume_lag'],2,15,15,80,32,1,1.583782022,-0.236747765,0.010151939,0.009344635,0.011686937,0.002342302,adam,6,1,relu
15,['return' 'volume_lag'],2,15,15,80,32,1,1.805169011,-0.244018524,0.010176588,0.009474892,0.011794589,0.002319696,adam,6,1,relu
15,['return' 'volume_lag'],2,15,15,80,32,1,2.004071025,-0.273317993,0.010303976,0.009377062,0.011442631,0.002065569,adam,6,1,relu
10,['Close' 'return'],10,28,15,80,32,1,3.512196342,-0.316231913,0.010479243,0.009647785,0.011038109,0.001390324,adam,6,1,tanh
24,['Close' 'return'],10,28,15,32,32,1,4.168636339,-0.477799189,0.011135474,0.010235119,0.012296299,0.002061181,adam,6,1,tanh
15,['Close' 'return'],10,28,15,32,32,1,3.951522123,-0.54311727,0.01126604,0.009309967,0.013970895,0.004660929,adam,6,1,tanh
15,['Close' 'return'],10,28,15,80,32,1,4.506053521,-0.557574161,0.011378501,0.009885315,0.013002884,0.003117569,adam,6,1,tanh
10,['Close' 'return'],10,28,15,32,32,1,4.871860811,-0.662834732,0.011752099,0.010024575,0.012959658,0.002935083,adam,6,1,tanh
24,['Close' 'return'],10,28,15,80,32,1,4.762907956,-0.982688582,0.012270625,0.009618547,0.020393826,0.010775278,adam,6,1,tanh
10,['return'],2,15,15,80,32,1,1.193465659,-0.004648962,0.009193094,0.009172963,0.009219138,4.62e-05,adam,6,1,relu
15,['return'],2,15,15,80,32,1,1.204949465,-0.003499555,0.009173508,0.00915582,0.009198376,4.26e-05,adam,6,1,relu
15,['return' 'google_trends_lag' 'tweet_volume_lag'],2,1,15,80,32,1,1.4698883439643722,-0.0337602184937651,0.0093064145172082,0.0090820227710176,0.0098694633483157,0.000787440577298,adam,6,1,relu
15,['return' 'google_trends_lag'],10,1,15,80,32,1,1.2688967463778538,-0.0118213580599789,0.0092114287097707,0.0091778752710786,0.0092688060647723,9.093079369367105e-05,adam,6,1,relu
15,['return' 'google_trends_lag'],2,30,15,80,32,1,1.4231530090230318,0.019113264320722,0.0090675801401616,0.0090328550615086,0.0091226440925476,8.978903103900107e-05,adam,6,1,relu
15,['return' 'google_trends_lag' 'tweet_volume_lag'],2,30,15,80,32,1,1.3927034216646166,-0.0015609568222875,0.0091619957998976,0.0090667025799307,0.0093837589685385,0.0003170563886077,adam,6,1,relu
11,['return'],2,30,15,80,32,1,1.3526151432771865,-0.0282620494909142,0.0072773758619102,0.0071647454457445,0.0073559243847838,0.0001911789390392,adam,1,1,relu
24,['return'],2,30,15,80,32,1,1.5522394373699684,-0.0524965206182595,0.0070843912276549,0.0070677151228078,0.0071188435025796,5.112837977180092e-05,adam,1,1,relu
11,['return' 'google_trends_lag'],10,30,15,80,32,1,1.3037298970387057,-0.0295466949357724,0.00728224958578,0.0072346890485823,0.0073407789323181,0.0001060898837358,adam,1,1,relu
11,['return' 'google_trends_lag'],15,30,15,80,32,1,1.3291369753764055,-0.0177686332931193,0.0072401258002749,0.0071377873648661,0.0073769688366854,0.0002391814718192,adam,1,1,relu
11,['return' 'google_trends_lag'],25,30,15,80,32,1,1.3451153500802626,-0.0181741754028998,0.0072419691714676,0.0072236164388541,0.0072948743909104,7.125795205624452e-05,adam,1,1,relu
11,['return' 'google_trends'],10,30,15,80,32,1,1.573444282248801,-0.0524240704855951,0.0073624576181115,0.0072602842124415,0.0074238744859003,0.0001635902734587,adam,1,1,relu
11,['return' 'google_trends_lag'],2,30,15,80,32,1,1.4977259250750676,-0.0310843498491791,0.0072874649949109,0.0072299710590197,0.0074201224289556,0.0001901513699359,adam,1,1,relu
11,['return' 'google_trends_lag'],11,30,15,80,32,1,1.3961372830933123,-0.0282639470447551,0.0072774250134275,0.0071456582291784,0.0073781012415358,0.0002324430123574,adam,1,1,relu
11,['return' 'tweet_volume_lag'],2,30,15,80,32,1,1.4336586693644435,-0.0478994249846649,0.0073469339133742,0.0073075571413035,0.0073746409081954,6.708376689194221e-05,adam,1,1,relu
11,['return' 'tweet_volume_lag'],2,30,15,80,32,1,1.226880059535953,-0.0139373620629638,0.0092168285036827,0.0091802821584411,0.009305698340616,0.0001254161821748,adam,6,1,relu
11,['return' 'tweet_volume'],2,30,15,80,32,1,1.2786660799671865,-0.0086591827850651,0.0091929098720015,0.0091638638415197,0.0092161403774899,5.227653597025816e-05,adam,6,1,relu
15,['return' 'tweet_volume_lag'],2,31,15,80,32,1,1.2628319906712835,-0.009167755236175124,0.009197304804906443,0.009160432087321193,0.009291352719735628,0.0001309206324144347,adam,6,1,relu
