,Close,Volume,google_trends,tw_compound,tw_polarity,tw_subjectivity,tweet_volume,re_compound,re_polarity,re_subjectivity
01/01/2022 00:00,46650.01,8957.465,71,0.294185913,0.156530381,0.464576992,1314,0.865422451,0.097302292,0.473198641
01/01/2022 01:00,46766.78,7276.249,74.22727273,0.315842559,0.140626142,0.455090284,1064,0.523754459,0.165465883,0.469432527
01/01/2022 02:00,46796.14,4478.713,74.22727273,0.273376726,0.11380376,0.440913135,986,0.404721121,-0.003025026,0.499500234
01/01/2022 03:00,46789.56,4208.992,61.31818182,0.323687143,0.148573464,0.436693195,942,0.307652745,0.129556786,0.461580638
01/01/2022 04:00,46690.81,6149.298,61.31818182,0.258453819,0.12792447,0.469469532,832,0.682041837,0.108311156,0.42214584
01/01/2022 05:00,47184.18,14988.008,53.25,0.345017687,0.217383053,0.484838583,863,0.651255748,0.086104234,0.461059103
01/01/2022 06:00,46972.19,7474.84,62.93181818,0.348845327,0.182645609,0.467829655,749,0.461612162,0.081516433,0.450163633
01/01/2022 07:00,47186.83,6227.873,66.15909091,0.278796507,0.132132118,0.479161635,752,0.75882357,0.207419752,0.455523461
01/01/2022 08:00,47117.84,6294.515,69.38636364,0.331896988,0.180137067,0.432831699,1047,0.331373723,0.057415069,0.445008159
01/01/2022 09:00,47137.37,5512.434,69.38636364,0.331215884,0.171612394,0.450666675,867,0.934000545,0.116212221,0.469619987
01/01/2022 10:00,46864.09,11859.238,74.22727273,0.2966752,0.138504585,0.420172613,814,0.786764667,0.069307845,0.477883937
01/01/2022 11:00,46755.01,5755.1,74.22727273,0.304940741,0.141544187,0.413433649,870,0.713600585,0.139225673,0.436456386
01/01/2022 12:00,47062.37,6002.673,69.38636364,0.245404015,0.150911837,0.424478962,945,0.402533215,0.138358224,0.492848721
01/01/2022 13:00,47005.55,5855.182,67.77272727,0.266291445,0.129495222,0.427490134,1024,0.5587475,0.182356076,0.518040191
01/01/2022 14:00,46909.2,5335.895,64.54545455,0.308960244,0.112751682,0.397382778,1107,0.820454598,0.160143029,0.481314919
01/01/2022 15:00,47194.78,11099.98,66.15909091,0.302528172,0.16258119,0.428510359,1252,0.723223657,0.167644213,0.448313663
01/01/2022 16:00,47249.99,8978.195,71,0.295844037,0.14452085,0.40280417,1338,0.70064332,0.121286838,0.556709163
01/01/2022 17:00,47733.16,13824.724,75.84090909,0.294941047,0.103084906,0.394493156,1590,0.722826038,0.100591607,0.434224334
01/01/2022 18:00,47546.74,9854.73,71,0.23415261,0.110764398,0.410579414,1349,0.757410657,0.14988475,0.466995561
01/01/2022 19:00,47326.98,5808.847,66.15909091,0.22096392,0.098527159,0.405657372,1188,0.600612372,0.169270095,0.523183552
01/01/2022 20:00,47385.22,5905.027,75.84090909,0.256897041,0.134589021,0.428421994,1227,0.715320743,0.128586896,0.460605813
01/01/2022 21:00,47322.2,5161.124,80.68181818,0.25349863,0.114989381,0.446480582,1242,0.542904526,0.131675317,0.432516161
01/01/2022 22:00,47428.16,4628.942,79.06818182,0.257214623,0.085984641,0.440384304,1102,0.6533709,0.085274437,0.486949186
01/01/2022 23:00,47704.35,7795.54,79.06818182,0.25433977,0.121717037,0.407885661,1080,0.572080137,0.074991882,0.531431145
02/01/2022 00:00,47622.14,8231.279,74.22727273,0.203500822,0.116786039,0.413523879,1122,0.552113088,0.127637713,0.454569842
02/01/2022 01:00,47381.21,4396.838,75.84090909,0.238859579,0.10079157,0.428780876,1082,0.376162124,0.097727631,0.418972762
02/01/2022 02:00,47374.28,4189.093,75.84090909,0.217477622,0.103443465,0.423981946,1128,0.712644805,0.141982642,0.480905129
02/01/2022 03:00,47330.75,4022.971,74.22727273,0.234763614,0.10128264,0.430128505,1023,0.446145455,-0.03566113,0.544502231
02/01/2022 04:00,46902.11,13039.814,66.15909091,0.231719274,0.123890367,0.440026415,999,0.529038432,0.072169974,0.436855126
